hexid,amphPrev,birdPrev,fishPrev,mammPrev,reptPrev,jan.avg,jan.stdev,jul.avg,jul.stdev,ppt.avg,ppt.stdev,ppt.min,ppt.max,seas.avg,elev.min,elev.max,elev.avg,elev.stdev,fractal,dominance,contagion,slope.max,slope.min,slope.med,slope.avg,slope.stdev,slope.iqr,aspect.avg,aspect.dev,aspect.med,crop.pasture,grass.crop,wood.crop,grass,shrub,grass.shrub,deciduous,evergreen,mix.forest,water,coast.wet,barren,tundra,urban,roads.maj,roads.min,streams.maj,streams.per,streams.int,streams.bra,fed.park,fed.refuge,fed.wilder,fed.indian,fed.mil,fed.forest,non.fed,federal,stream,roads
2775,15,108,29,38,13,-2.556,0.997,22.491,0.991,1019.26,36.616,969,1116,25.046,152,609,238,108.8,1.506,0.156,0.637,10.168,0,0.688,1.765,2.168,2.595,56.5,72.2,63.8,0.10372,0,0.40867,0,0,0,0.43189,0.00155,0.05418,0,0,0,0,0,0,70.262,57.853,0,57.853,57.853,0,0,0,0,0,0,0,0,173.559,70.262
2776,19,108,18,39,14,-3.232,1.108,21.721,1.188,1089.966,36.507,1013,1200,24.954,183,628,315,121.9,1.348,0.313,0.701,6.251,0,0.885,1.604,1.466,2.129,304.6,62.7,305.5,0.21672,0.00155,0.31269,0,0,0,0.43963,0.00464,0.00464,0,0,0,0,0.02012,0,79.0592,61.821,0,61.821,61.821,0,0,0,0,19.139,0,0,19.139,185.463,79.0592
2777,18,99,16,42,20,-2.351,0.92,22.57,0.967,997.643,50.311,929,1189,24.921,137,614,239,90.5,1.479,0.335,0.731,9.819,0.02,0.622,1.148,1.443,0.553,239.7,61.8,256.6,0.12674,0,0.60124,0,0,0,0.2102,0.03091,0.02009,0,0,0,0,0.01082,30.4004,54.7356,68.882,0,68.882,68.882,0,0,0,0,0,0,0,0,206.646,85.136
2778,17,97,31,45,19,-1.109,0.499,23.783,0.588,950.536,27.696,910,1009,24.892,91,450,156,49.4,1.427,0.227,0.656,8.062,0.01,0.527,0.891,1.108,0.519,239.1,73.3,252.2,0.06934,0.00308,0.30508,0,0,0,0.3698,0.10015,0.12943,0,0,0,0,0.02311,0,92.4071,106.088,0,106.088,106.088,0,0,0,0,2.3974,0,0,2.3974,318.264,92.4071
2779,21,90,38,44,22,-0.868,0.485,23.934,0.415,974.688,18.035,951,1042,24.802,91,443,160,37.2,1.452,0.335,0.731,9.125,0,0.401,0.754,1.167,0.347,48.6,73.9,66.5,0.00614,0,0.20123,0,0,0.00154,0.48541,0.0722,0.22427,0,0,0,0,0.00922,20.1444,35.696,66.677,0,66.677,66.677,0,0,0,0,0,0,0,0,200.031,55.8404
2780,13,116,34,32,14,-0.789,0.857,23.538,0.902,1020.598,45.34,909,1125,24.327,122,645,212,85.5,1.423,0.245,0.697,9.167,0,0.545,1.466,2.026,1.741,86.4,71,98.3,0,0,0.03082,0,0,0,0.36055,0.01233,0.5886,0,0,0,0,0.0077,12.2661,80.2416,58.235,0,58.235,58.235,0,0,0,0,0,0,0,0,174.705,92.5078
2781,13,106,38,36,15,-1.183,1.422,22.56,1.544,1033.43,54.803,947,1174,23.743,151,977,302,153.6,1.441,0.389,0.698,13.059,0.01,1.937,2.958,2.692,3.514,65.9,77.4,82.9,0.0031,0,0.01548,0,0,0,0.65635,0.00155,0.31115,0,0,0,0,0.01238,22.9583,67.0457,51.86,0,51.86,51.86,63.3157,0,0,0,0,2.4143,0,65.73,155.58,90.004
2782,20,112,26,33,16,-1.512,2.031,22.105,2.311,1050.259,35.195,1010,1165,23.618,122,1120,399,236.6,1.323,0.312,0.628,14.192,0.023,2.702,3.885,3.223,4.726,97.8,69.6,108.9,0,0,0,0,0,0,0.64706,0,0.35294,0,0,0,0,0,34.5072,46.8605,49.185,0,49.185,49.185,249.8984,0,0,0,0,0,0,249.8984,147.555,81.3677
2783,21,109,29,32,19,-0.68,2.2,22.823,2.446,1118.345,28.259,1085,1234,23.502,122,1126,394,261.7,1.467,0.267,0.621,13.281,0,2.628,3.343,2.952,4.469,120.2,60.3,126.2,0,0,0.00154,0,0,0,0.68413,0.00462,0.30971,0,0,0,0,0,24.2628,23.6418,46.883,0,46.883,46.883,150.2162,0,0,0,0,0,0,150.2162,140.649,47.9045
2784,10,93,30,32,11,1.756,0.58,24.974,0.602,1081.06,29.771,995,1192,23.218,122,611,188,70.5,1.498,0.286,0.577,11.665,0,0.681,1.219,1.61,0.699,119.7,66.4,122.3,0,0,0.02778,0,0,0,0.58488,0,0.37963,0,0,0,0,0.00772,0,47.2925,55.196,0,55.196,55.196,2.0997,0,0,0,0,0,0,2.0997,165.588,47.2925
2785,18,90,24,29,19,1.669,0.732,24.737,0.851,1087.366,16.39,1023,1126,23.068,122,635,213,80.9,1.411,0.29,0.654,7.986,0,1.104,1.632,1.463,1.682,71.8,70.1,81.2,0,0,0.00308,0,0,0,0.47385,0.00154,0.46308,0,0,0,0,0.05846,0,92.2124,20.38,0,20.38,20.38,0,0,0,0,0,0,0,0,61.14,92.2124
2786,15,90,27,30,17,1.723,0.626,24.609,0.737,1095.309,15.354,1025,1129,22.886,91,604,189,76.8,1.453,0.301,0.605,9.316,0,0.954,1.504,1.53,1.393,97.7,76.8,117.5,0,0,0.00154,0,0,0,0.67385,0,0.32462,0,0,0,0,0,17.7434,12.9035,62.045,0,62.045,62.045,0,0,0,0,0,0,0,0,186.135,30.6469
