"hsa","obsratewm100k","obsratebm100k","femhh","popdens","pctblack","pcthispan","dthswm","obslnrwm","predlnrwm","residwm","dthsbm","obslnrbm","predlnrbm","residbm","predratewm100k","smpredratewm100k","predratebm100k","urbanRural","BM15-24","WM15-24"
667,0.1,0.1,4.7,9,0.7019783025,0.4467134652,0,-13.8155,-11.8071,-2.0084,0,-13.8155,-11.7013,-2.1143,0.75,0.5308,0.83,7,10,1935
668,0.1,0.1,3.7,1,0.1268431901,0.8244807357,0,-13.8155,-11.6375,-2.178,0,-13.8155,-12.6246,-1.191,0.88,0.39682,0.33,7,0,1570
669,0.1,0.1,3.5,5,0.2213142663,1.4981273408,0,-13.8155,-12.38,-1.4355,0,-13.8155,-12.1982,-1.6173,0.42,0.74515,0.5,9,0,1315
670,0.1,0.1,2.5,2,0.0281769513,0.1972386588,0,-13.8155,-12.4372,-1.3783,0,-13.8155,-13.1829,-0.6326,0.4,0.39682,0.19,8,0,1015
671,0.1,0.1,6.7,39,5.2740373258,2.1202456886,0,-13.8155,-11.3501,-2.4655,0,-13.8155,-12.0267,-1.7888,1.18,1.80079,0.6,6,480,6290
672,8.16,0.1,2.4,40,0.0735712136,0.3611677758,1,-9.4139,-12.319,2.905,0,-13.8155,-13.038,-0.7775,0.45,0.44661,0.22,7,40,12410
673,0.1,0.1,4.9,23,0.9650702197,0.3456967951,0,-13.8155,-12.7446,-1.0709,0,-13.8155,-11.7656,-2.0499,0.29,0.68813,0.78,7,20,3630
674,0.1,0.1,3.7,31,0.7701334898,1.0781868857,0,-13.8155,-12.9494,-0.8661,0,-13.8155,-11.9744,-1.8411,0.24,0.5308,0.63,7,280,9300
675,0.1,0.1,4.4,18,0.3110117601,0.8747205754,0,-13.8155,-12.6087,-1.2068,0,-13.8155,-12.9042,-0.9113,0.33,4.44476,0.25,7,0,2655
676,0.1,0.1,4.7,49,0.0899808302,0.6220413912,0,-13.8155,-10.3266,-3.489,0,-13.8155,-12.7765,-1.039,3.28,6.17696,0.28,6,15,8720
678,0.1,0.1,4.4,12.5,0.9265436217,0.4818026833,0,-13.8155,-12.0785,-1.7371,0,-13.8155,-11.9305,-1.885,0.57,1.80079,0.66,8.55,235,4630
679,6.29,0.1,5.5,43.6,0.3483257025,0.7020378849,1,-9.6743,-11.0194,1.3452,0,-13.8155,-12.6301,-1.1854,1.64,1.63808,0.33,5.31,140,16160
680,0.1,112.85,2.9,5,0.0522193211,0.4438642298,0,-13.8155,-12.7576,-1.0579,18,-6.7869,-7.0621,0.2752,0.29,0.31715,85.7,9,20,3670
681,0.1,0.1,4.4,23,0.345752608,0.8226527571,0,-13.8155,-12.8965,-0.919,0,-13.8155,-11.7028,-2.1128,0.25,0.45883,0.83,7,140,5395
682,0.1,0.1,3.5,4,0,0.892635755,0,-13.8155,-12.2358,-1.5797,0,-13.8155,-11.8415,-1.974,0.49,0.48696,0.72,9,0,870
683,0.1,0.1,4.6,16.3,0.1753278631,0.6872852234,0,-13.8155,-12.7549,-1.0606,0,-13.8155,-11.7487,-2.0668,0.29,0.68813,0.79,7.52,10,3725
684,0.1,0.1,2,3.5,0,0.1456027956,0,-13.8155,-12.5738,-1.2417,0,-13.8155,-10.5397,-3.2758,0.35,0.34615,2.65,9,0,1510
685,0.1,0.1,3.8,47,0.2364066194,0.4400800145,0,-13.8155,-11.9357,-1.8798,0,-13.8155,-12.1526,-1.6629,0.66,2.0512,0.53,7,15,7165
686,0.1,0.1,4.5,33,0.3099879157,0.2732096884,0,-13.8155,-12.9575,-0.858,0,-13.8155,-12.6725,-1.143,0.24,0.65072,0.31,7,145,7815
687,0.1,0.1,4.1,19,0.4511278195,0.2005012531,0,-13.8155,-12.5728,-1.2428,0,-13.8155,-12.6767,-1.1388,0.35,1.4862,0.31,7,150,3225
688,18.26,0.1,8,171.6,5.6966402926,12.539369702,88,-8.6081,-8.7769,0.1689,0,-13.8155,-12.442,-1.3735,15.43,15.42555,0.39,0.28,38610,484505
689,9.5,135.89,7.2,264.5,2.6088070746,3.0259816096,44,-9.2618,-8.9044,-0.3574,24,-6.6011,-6.7341,0.133,13.58,11.7262,118.96,0.53,17675,468175
690,20.82,146.09,7.7,63.8,2.4993161433,15.67471458,9,-8.4768,-8.1828,-0.2939,3,-6.5287,-10.421,3.8922,27.94,17.72056,2.98,3.35,2055,43425
691,16.31,0.1,6.9,8,0.2721070972,2.441904493,7,-8.7211,-9.4628,0.7417,0,-13.8155,-11.8685,-1.947,7.77,7.76888,0.7,4.15,325,43180
692,3.26,38.33,6.4,6.8,0.9002914238,1.4397724119,1,-10.3301,-10.0982,-0.2319,7,-7.8667,-8.6326,0.7659,4.12,4.11536,17.82,4.43,765,31610
693,30.53,88.16,8.5,34,2.3424152081,37.064363125,60,-8.0942,-8.1659,0.0717,34,-7.0338,-7.0498,0.016,28.42,28.41808,86.76,2.36,6695,197170
694,4.45,0.1,6,6.5,0.1511125663,1.3549760109,1,-10.0209,-10.3858,0.3649,0,-13.8155,-12.4762,-1.3393,3.09,5.72719,0.38,6.3,65,23010
695,0.1,0.1,5.1,20.3,0.1147515509,6.1619192197,0,-13.8155,-10.6921,-3.1234,0,-13.8155,-12.0354,-1.7801,2.27,5.72719,0.59,5.8,80,27430
696,9.65,0.1,5.6,17.4,0.3640115559,5.7985967809,4,-9.2457,-10.2664,1.0206,0,-13.8155,-13.326,-0.4895,3.48,3.47824,0.16,5.97,330,41875
697,11.51,0.1,7.3,45.9,1.0314060411,9.1302432731,11,-9.0699,-8.7697,-0.3002,0,-13.8155,-12.911,-0.9045,15.54,15.82396,0.25,3.87,1935,96425
698,3.6,0.1,7.6,39.2,1.2125891593,2.5612283105,5,-10.2325,-8.709,-1.5235,0,-13.8155,-10.0867,-3.7288,16.51,11.23266,4.16,2.77,2735,142935
699,22.46,307.79,7.4,59.9,3.202938702,16.041636713,188,-8.4013,-8.5072,0.1058,1,-5.7835,-8.3803,2.5968,20.2,20.20087,22.93,0.48,38640,840895
700,14.97,0.1,8.2,39.5,3.1956869569,26.746321533,44,-8.8066,-8.659,-0.1476,0,-13.8155,-13.4085,-0.407,17.36,17.35578,0.15,2.59,14545,295815
701,9.29,134.54,6.9,12.9,1.7869477808,8.5522449611,11,-9.2836,-8.7432,-0.5404,9,-6.6111,-7.1049,0.4937,15.95,15.95425,82.11,3.34,3925,119650
702,8.25,0.1,6.6,58.3,1.4450154299,13.261082562,4,-9.4024,-9.0941,-0.3083,0,-13.8155,-10.8642,-2.9513,11.23,11.23266,1.91,3,865,49065
703,2.5,0.1,4.7,19.5,0.0816892186,2.9640154224,4,-10.5967,-10.5444,-0.0523,0,-13.8155,-12.4557,-1.3598,2.63,3.47824,0.39,2.75,475,166685
704,15.84,0.1,9.4,13,1.4112359551,37.544783307,8,-8.7506,-8.7774,0.0268,0,-13.8155,-12.3929,-1.4226,15.42,8.63761,0.41,3.8,1300,50835
705,9.43,0.1,6.9,143.3,0.7698464673,7.1346867496,11,-9.2689,-9.0511,-0.2178,0,-13.8155,-13.1476,-0.6679,11.73,11.7262,0.2,1.81,2035,117885
707,19.14,0.1,8.1,19.8,8.6248170572,10.109735287,47,-8.5614,-8.5078,-0.0535,0,-13.8155,-13.0726,-0.7429,20.19,20.18875,0.21,2.23,32465,246900
708,6.55,129.51,6.8,48.6,0.7178175199,5.8716882734,19,-9.6328,-9.1075,-0.5253,50,-6.6492,-6.6813,0.032,11.08,11.08314,125.41,0.69,3160,294370
709,16.01,96.95,8.7,311.9,6.8435529761,11.350399905,68,-8.74,-8.627,-0.113,44,-6.9387,-6.9084,-0.0303,17.92,17.72056,99.94,0.2,45430,427545
710,10.47,0.1,7.4,16.8,0.748629084,3.7667057375,5,-9.1647,-8.9232,-0.2415,0,-13.8155,-12.86,-0.9555,13.33,15.82396,0.26,3.46,725,48230
711,11.24,27.6,6.4,12.2,0.3505578391,7.5807398708,6,-9.0936,-9.1644,0.0708,4,-8.1951,-7.9219,-0.2732,10.47,10.47012,36.27,5.98,600,53870
712,12.51,0.1,7,2.5,0.0282663317,1.0489949749,1,-8.986,-12.1697,3.1837,0,-13.8155,-13.0054,-0.8101,0.52,0.81908,0.22,7.89,20,8055
713,2.25,0.1,6.5,13,0.1500682128,1.2917354778,1,-10.704,-9.6148,-1.0893,0,-13.8155,-11.8374,-1.9781,6.67,6.01722,0.72,6.08,275,46610
714,0.1,0.1,5,1.2,0.0748888369,1.2824713316,0,-13.8155,-12.555,-1.2605,0,-13.8155,-12.7884,-1.0271,0.35,0.64508,0.28,7.91,25,6320
