Organ,Type,OrganType,Year,Value,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2010,0.389777,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2010,0.019010,,,,,,,,,
All,Recovered,All Recovered,2009,28296.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2009,14394.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2009,6739.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2009,2281.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2009,1740.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2009,2955.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2009,187.000000,,,,,,,,,
All,Transplanted,All Transplanted,2009,24207.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2009,11631.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2009,6016.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2009,2265.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2009,1269.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2009,2849.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2009,177.000000,,,,,,,,,
All,Donors,All Donors,2009,8022.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2009,3.527300,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2009,1.794316,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2009,0.840065,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2009,0.284343,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2009,0.216904,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2009,0.368362,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2009,0.023311,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2009,3.017577,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2009,1.449888,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2009,0.749938,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2009,0.282349,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2009,0.158190,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2009,0.355148,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2009,0.022064,,,,,,,,,
All,Recovered,All Recovered,2008,27876.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2008,14278.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2008,6751.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2008,2222.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2008,1829.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2008,2599.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2008,197.000000,,,,,,,,,
All,Transplanted,All Transplanted,2008,23908.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2008,11670.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2008,6000.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2008,2210.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2008,1309.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2008,2534.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2008,185.000000,,,,,,,,,
All,Donors,All Donors,2008,7989.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2008,3.489298,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2008,1.787207,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2008,0.845037,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2008,0.278132,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2008,0.228940,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2008,0.325322,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2008,0.024659,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2008,2.992615,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2008,1.460759,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2008,0.751033,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2008,0.276630,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2008,0.163850,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2008,0.317186,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2008,0.023157,,,,,,,,,
All,Recovered,All Recovered,2007,28305.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2007,14380.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2007,6936.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2007,2286.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2007,1924.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2007,2574.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2007,205.000000,,,,,,,,,
All,Transplanted,All Transplanted,2007,24200.000000,,,,,,,,,
Kidney,Transplanted,Kidney Transplanted,2007,11750.000000,,,,,,,,,
Pancreas,Transplanted,Pancreas Transplanted,2007,6154.000000,,,,,,,,,
Liver,Transplanted,Liver Transplanted,2007,2260.000000,,,,,,,,,
Heart,Transplanted,Heart Transplanted,2007,1354.000000,,,,,,,,,
Lungs ,Transplanted,Lungs  Transplanted,2007,2485.000000,,,,,,,,,
Intestine,Transplanted,Intestine Transplanted,2007,197.000000,,,,,,,,,
All,Donors,All Donors,2007,8085.000000,,,,,,,,,
All,Recovered Per Donor,All Recovered Per Donor,2007,3.500928,,,,,,,,,
Kidney,Recovered Per Donor,Kidney Recovered Per Donor,2007,1.778602,,,,,,,,,
Pancreas,Recovered Per Donor,Pancreas Recovered Per Donor,2007,0.857885,,,,,,,,,
Liver,Recovered Per Donor,Liver Recovered Per Donor,2007,0.282746,,,,,,,,,
Heart,Recovered Per Donor,Heart Recovered Per Donor,2007,0.237972,,,,,,,,,
Lungs ,Recovered Per Donor,Lungs  Recovered Per Donor,2007,0.318367,,,,,,,,,
Intestine,Recovered Per Donor,Intestine Recovered Per Donor,2007,0.025356,,,,,,,,,
All,Transplanted Per Donor,All Transplanted Per Donor,2007,2.993197,,,,,,,,,
Kidney,Transplanted Per Donor,Kidney Transplanted Per Donor,2007,1.453309,,,,,,,,,
Pancreas,Transplanted Per Donor,Pancreas Transplanted Per Donor,2007,0.761163,,,,,,,,,
Liver,Transplanted Per Donor,Liver Transplanted Per Donor,2007,0.279530,,,,,,,,,
Heart,Transplanted Per Donor,Heart Transplanted Per Donor,2007,0.167471,,,,,,,,,
Lungs ,Transplanted Per Donor,Lungs  Transplanted Per Donor,2007,0.307359,,,,,,,,,
Intestine,Transplanted Per Donor,Intestine Transplanted Per Donor,2007,0.024366,,,,,,,,,
All,Recovered,All Recovered,2006,28238.000000,,,,,,,,,
Kidney,Recovered,Kidney Recovered,2006,14274.000000,,,,,,,,,
Pancreas,Recovered,Pancreas Recovered,2006,7014.000000,,,,,,,,,
Liver,Recovered,Liver Recovered,2006,2276.000000,,,,,,,,,
Heart,Recovered,Heart Recovered,2006,2029.000000,,,,,,,,,
Lungs ,Recovered,Lungs  Recovered,2006,2461.000000,,,,,,,,,
Intestine,Recovered,Intestine Recovered,2006,184.000000,,,,,,,,,
