,Y2000,Y2001,Y2002,Y2000inThousands,Y2001inThousands,Y2002inThousands,Y2000Log10,Y2001Log10,Y2002Log10
EC,7685,9706,10602,7.685,9.706,10.602,3.885643872,3.987040287,4.0253878
EE,241,348,344,0.241,0.348,0.344,2.382017043,2.541579244,2.536558443
EG,4461,5182,4875,4.461,5.182,4.875,3.649432223,3.714497409,3.68797462
EH,1,3,0,0.001,0.003,0,0,0.477121255,0
ER,383,544,561,0.383,0.544,0.561,2.583198774,2.7355989,2.748962861
ES,1264,1726,1376,1.264,1.726,1.376,3.101747074,3.237040791,3.138618434
ET,4061,5106,7574,4.061,5.106,7.574,3.608632989,3.70808081,3.879325301
FI,378,499,429,0.378,0.499,0.429,2.5774918,2.698100546,2.632457292
FJ,1487,1457,1211,1.487,1.457,1.211,3.172310969,3.163459552,3.083144143
FK,0,1,0,0,0.001,0,0,0,0
FM,5,9,2,0.005,0.009,0.002,0.698970004,0.954242509,0.301029996
FR,3465,4608,3824,3.465,4.608,3.824,3.539703239,3.66351247,3.582517884
GA,18,32,41,0.018,0.032,0.041,1.255272505,1.505149978,1.612783857
GB,13385,18436,16421,13.385,18.436,16.421,4.126618376,4.265666699,4.215399601
GD,655,645,636,0.655,0.645,0.636,2.8162413,2.809559715,2.803457116
GE,495,789,886,0.495,0.789,0.886,2.694605199,2.897077003,2.947433722
GF,13,8,6,0.013,0.008,0.006,1.113943352,0.903089987,0.77815125
GH,4344,4031,4256,4.344,4.031,4.256,3.637889817,3.605412798,3.629001619
GI,5,5,9,0.005,0.005,0.009,0.698970004,0.698970004,0.954242509
GL,0,4,4,0,0.004,0.004,0,0.602059991,0.602059991
GM,232,391,343,0.232,0.391,0.343,2.365487985,2.592176757,2.53529412
GN,3,11,16,0.003,0.011,0.016,0.477121255,1.041392685,1.204119983
GP,51,84,39,0.051,0.084,0.039,1.707570176,1.924279286,1.591064607
GQ,5,3,8,0.005,0.003,0.008,0.698970004,0.477121255,0.903089987
GR,970,1181,1038,0.97,1.181,1.038,2.986771734,3.072249898,3.016197354
GT,9970,13567,16229,9.97,13.567,16.229,3.998695158,4.132483825,4.21029176
GU,0,0,1,0,0,0.001,0,0,0
GW,204,274,290,0.204,0.274,0.29,2.309630167,2.437750563,2.462397998
GY,5746,8303,9962,5.746,8.303,9.962,3.759365622,3.919235038,3.998346537
HK,5419,8321,6090,5.419,8.321,6.09,3.733919151,3.920175522,3.784617293
HN,5939,6615,6461,5.939,6.615,6.461,3.773713325,3.820529849,3.810299741
HR,1078,2862,3805,1.078,2.862,3.805,3.032618761,3.456669629,3.580354661
HT,22364,27120,20268,22.364,27.12,20.268,4.349549484,4.433289685,4.306810896
HU,1025,1273,1284,1.025,1.273,1.284,3.010723865,3.104828404,3.108565024
ID,1774,2541,2429,1.774,2.541,2.429,3.248953615,3.405004665,3.385427515
IE,1315,1522,1425,1.315,1.522,1.425,3.118925753,3.182414652,3.153814864
IL,2806,3776,3857,2.806,3.776,3.857,3.448087667,3.577031986,3.586249639
IN,42046,70290,71105,42.046,70.29,71.105,4.623724686,4.846893543,4.851900141
IQ,5134,4985,5196,5.134,4.985,5.196,3.710455864,3.697665163,3.715669142
IR,8519,10497,13029,8.519,10.497,13.029,3.930388618,4.021065197,4.114911084
IS,129,136,93,0.129,0.136,0.093,2.11058971,2.133538908,1.968482949
IT,2489,3142,2605,2.489,3.142,2.605,3.396024897,3.497206181,3.415807728
JM,16000,15393,14898,16,15.393,14.898,4.204119983,4.187323269,4.17312797
JO,3909,4593,3980,3.909,4.593,3.98,3.59206567,3.662096445,3.599883072
JP,7094,9619,8301,7.094,9.619,8.301,3.850891184,3.983129925,3.919130414
KE,2210,2514,3207,2.21,2.514,3.207,3.344392274,3.400365273,3.50609896
KG,396,588,473,0.396,0.588,0.473,2.597695186,2.769377326,2.674861141
KH,2142,2473,2809,2.142,2.473,2.809,3.330819466,3.393224116,3.448551739
KI,3,0,4,0.003,0,0.004,0.477121255,0,0.602059991
KM,3,2,3,0.003,0.002,0.003,0.477121255,0.301029996,0.477121255
KN,504,466,343,0.504,0.466,0.343,2.702430536,2.668385917,2.53529412
KP,15830,20742,21021,15.83,20.742,21.021,4.199480915,4.31685063,4.322653372
KR,15830,20742,21021,15.83,20.742,21.021,4.199480915,4.31685063,4.322653372
KW,1018,1270,1063,1.018,1.27,1.063,3.007747778,3.103803721,3.026533265
KY,31,24,24,0.031,0.024,0.024,1.491361694,1.380211242,1.380211242
KZ,1509,2315,2315,1.509,2.315,2.315,3.17868924,3.364550995,3.364550995
LA,1380,1416,1257,1.38,1.416,1.257,3.139879086,3.151063253,3.099335278
LB,3674,4601,3966,3.674,4.601,3.966,3.565139152,3.662852233,3.59835271
LC,601,678,586,0.601,0.678,0.586,2.778874472,2.831229694,2.767897616
LI,1,4,0,0.001,0.004,0,0,0.602059991,0
LK,1123,1507,1534,1.123,1.507,1.534,3.050379756,3.178113252,3.18582536
LR,1575,2285,2879,1.575,2.285,2.879,3.197280558,3.358886204,3.459241665
LS,9,6,13,0.009,0.006,0.013,0.954242509,0.77815125,1.113943352
