ID AR
0.120171 1.553293
0.119484 1.789813
0.105278 1.796791
0.104778 1.798051
0.07551 1.837301
0.095108 1.867929
0.059188 1.887909
0.059202 1.888409
0.040932 1.910856
0.031416 1.92984
0.028244 1.947242
0.020154 1.949905
0.160421 1.949905
0.248943 1.954489
0.359316 1.959073
0.385466 1.938577
0.378961 1.911281
0.393213 1.86631
0.450436 1.815785
0.46141 1.775666
0.475871 1.7851
0.506092 1.773219
0.488921 1.702264
0.529612 1.675112
0.528026 1.664038
0.5423 1.662456
0.55816 1.654546
0.57648 1.614541
0.568499 1.599592
0.582688 1.575827
0.599531 1.572248
0.603396 1.537458
ID KS
0.105278 1.796791
0.119484 1.789813
0.120171 1.553293
-0.062638 1.551001
-0.282031 1.555986
-0.532342 1.566854
-0.511721 1.903559
-0.323848 1.895036
-0.204898 1.891872
-0.055814 1.888708
0.059188 1.887909
0.095108 1.867929
0.07551 1.837301
0.104778 1.798051
ID WY
-0.66164 2.139094
-0.671166 2.027428
-0.809149 2.039422
-0.929585 2.054066
