fips,pop_total,pop_nhWhite,pop_black,pop_Hisp,popPctBlk,popPctHisp,Households,X2006.2005,ALLpop2005,ALLpop2006,ALLpop2007,ALLpc0506,ALLpc0507,ALLpc0607,Wpop2005,Wpop2006,Wpop2007,Wpc0506,Wpc0507,Wpc0607,Bpop2005,Bpop2006,Bpop2007,Bpc0506,Bpc0507,Bpc0607,Hpop2005,Hpop2006,Hpop2007,Hpc0506,Hpc0507,Hpc0607
22099,48583,31761,15621,346,0.3215,0.0071,17121,1.89,50033,51221,51651,2.374432874,3.233865649,0.839499424,32993,33533,33951,1.636710817,2.903646228,1.246533266,15703,16242,16234,3.432465134,3.381519455,-0.049255018,375,465,470,24,25.33333333,1.075268817
22101,53500,33053,16543,1448,0.3092,0.0271,19271,-0.37,50887,51649,51311,1.497435494,0.8332187,-0.654417317,31324,31145,30961,-0.571446814,-1.158855829,-0.590785038,16246,17099,16854,5.250523206,3.742459682,-1.432832329,1220,1277,1340,4.672131148,9.836065574,4.933437745
22103,191268,162632,18194,5078,0.0951,0.0265,69281,3,217551,224227,226625,3.068705729,4.170976001,1.069451939,179117,184122,184799,2.794262968,3.172228208,0.367690987,25795,26339,27340,2.10893584,5.989532855,3.800448005,6583,7156,7588,8.704238189,15.26659578,6.036892119
22105,100588,69090,28424,1425,0.2826,0.0142,36516,5.82,106253,113144,115398,6.48546394,8.606815808,1.992151594,72305,76293,77591,5.515524514,7.310697739,1.70133564,30735,33170,33930,7.922563852,10.39531479,2.291227012,1723,2041,2157,18.45618108,25.18862449,5.683488486
22107,6618,2848,3574,150,0.54,0.0227,2435,-0.39,5958,6038,5865,1.342732461,-1.560926485,-2.865187148,2503,2488,2392,-0.599280863,-4.434678386,-3.8585209,3308,3397,3314,2.6904474,0.181378476,-2.443332352,85,90,96,5.882352941,12.94117647,6.666666667
22109,104503,76392,18328,1674,0.1754,0.016,36017,0.84,106255,108157,108424,1.79003341,2.041315703,0.246863356,77437,77885,77719,0.578534809,0.364167,-0.21313475,19021,20214,20436,6.272015141,7.439146207,1.098248738,1914,2135,2263,11.54649948,18.23406479,5.995316159
22111,22803,15826,6394,414,0.2804,0.0182,8864,0.24,22741,22846,22773,0.46172112,0.140715008,-0.319530771,15666,15652,15598,-0.089365505,-0.434061024,-0.345003833,6250,6309,6251,0.944,0.016,-0.919321604,580,633,666,9.137931034,14.82758621,5.213270142
22113,53807,44038,7567,687,0.1406,0.0128,19836,0.24,54938,55425,55691,0.886453821,1.37063599,0.47992783,44414,44414,44563,0,0.335479804,0.335479804,7902,8230,8229,4.150847887,4.138192863,-0.012150668,830,938,1002,13.01204819,20.72289157,6.823027719
22115,52531,37567,8405,3002,0.16,0.0571,18276,-3.49,50296,48493,47380,-3.584778114,-5.797677748,-2.295176623,35819,34544,33751,-3.55956336,-5.77347218,-2.295622974,7612,7236,6627,-4.939569101,-12.94009459,-8.416252073,3287,3198,3343,-2.707636142,1.703681168,4.534083802
22117,43926,29357,13839,283,0.3151,0.0064,16454,-0.71,43951,44061,44920,0.250278719,2.204727993,1.949569914,29368,29149,29668,-0.745709616,1.021520022,1.78050705,13782,14087,14336,2.21303149,4.019735887,1.767587137,352,359,431,1.988636364,22.44318182,20.05571031
22119,41831,27253,13679,289,0.327,0.0069,16506,-0.67,40876,40989,40924,0.276445836,0.11742832,-0.158579131,26308,26082,25991,-0.85905428,-1.204956667,-0.348899624,13560,13817,13824,1.895280236,1.946902655,0.050662228,352,399,408,13.35227273,15.90909091,2.255639098
22121,21601,13414,7659,288,0.3546,0.0133,7672,1.21,21534,22220,22625,3.185659887,5.066406613,1.822682268,13170,13314,13574,1.093394077,3.067577828,1.952831606,7738,8251,8335,6.629620057,7.715171879,1.018058417,382,402,451,5.235602094,18.06282723,12.18905473
22123,12314,9749,2365,107,0.1921,0.0087,4468,-0.43,11801,11698,11553,-0.872807389,-2.101516821,-1.239528124,9213,9165,9040,-0.521002931,-1.877781396,-1.363884343,2310,2245,2215,-2.813852814,-4.112554113,-1.336302895,174,182,186,4.597701149,6.896551724,2.197802198
22125,15111,7255,7528,186,0.4982,0.0123,3622,1.06,15053,15287,15113,1.554507407,0.398591643,-1.138222019,7259,7335,7316,1.046976168,0.785232126,-0.259032038,7564,7716,7559,2.009518773,-0.066102591,-2.034733022,104,106,108,1.923076923,3.846153846,1.886792453
22127,16894,11157,5410,131,0.3202,0.0078,5926,-0.62,15736,15684,15521,-0.330452466,-1.366293849,-1.039275695,10371,10303,10179,-0.655674477,-1.85131617,-1.203532952,4976,4985,4933,0.180868167,-0.86414791,-1.043129388,127,130,139,2.362204724,9.448818898,6.923076923
